Programa;JCL;Pacote;Desativado;ChamadaNaoCobol
PF0100B;JPPFD02;1;Sim;Nao
PF0402B;JPPFD02;1;Sim;Nao
PF0403B;JPPFD02;1;Sim;Nao
PF0605B;JPPFD02;1;Nao;Nao
PF0612B;JPPFD02;1;Nao;Nao
PF0617B;JPPFD02;1;Nao;Nao
PF0618B;JPPFD02;1;Nao;Nao
PF0619B;JPPFD02;1;Nao;Nao
PF0623B;JPPFD02;1;Nao;Nao
PF0634B;JPPFD02;1;Nao;Nao
PF0642B;JPPFD02;1;Nao;Nao
PF0648B;JPPFD02;1;Nao;Nao
PF0705B;JPPFD02;1;Nao;Nao
PF0706B;JPPFD02;1;Nao;Nao
PF0709B;JPPFD02;1;Nao;Nao
PF0714B;JPPFD02;1;Nao;Nao
PF0715B;JPPFD02;1;Nao;Nao
PF0716B;JPPFD02;1;Nao;Nao
PF0717B;JPPFD02;1;Nao;Nao
PF0720B;JPPFD02;1;Nao;Nao
PF0721B;JPPFD02;1;Nao;Nao
PF0726B;JPPFD02;1;Nao;Nao
PF0770B;JPPFD02;1;Sim;Sim
PF0602B;JPPFD11;1;Nao;Nao
CB0111B;JPVAD01;1;Nao;Nao
VA0061B;JPVAD01;1;Nao;Nao
VA0127B;JPVAD01;1;Nao;Nao
VA0340B;JPVAD01;1;Nao;Nao
VA0341B;JPVAD01;1;Nao;Nao
VA0344B;JPVAD01;1;Nao;Nao
VA0345B;JPVAD01;1;Nao;Nao
VA0417B;JPVAD01;1;Sim;Sim
VA0458B;JPVAD01;1;Nao;Nao
VA0459B;JPVAD01;1;Nao;Nao
VA0460B;JPVAD01;1;Sim;Sim
VA0469B;JPVAD01;1;Nao;Nao
VA0685B;JPVAD01;1;Nao;Nao
VA0850B;JPVAD01;1;Nao;Nao
VA0853B;JPVAD01;1;Nao;Nao
VA1180B;JPVAD01;1;Sim;Sim
VA1300B;JPVAD01;1;Nao;Nao
VA1471B;JPVAD01;1;Nao;Nao
VA1473B;JPVAD01;1;Nao;Nao
VA1474B;JPVAD01;1;Nao;Nao
VA1815B;JPVAD01;1;Nao;Nao
VA2513B;JPVAD01;1;Nao;Nao
VA3118B;JPVAD01;1;Nao;Nao
VG0032B;JPVAD01;1;Nao;Nao
VG0095B;JPVAD01;1;Sim;Sim
VG0134B;JPVAD01;1;Nao;Nao
VG0817B;JPVAD01;1;Sim;Sim
VG1139B;JPVAD01;1;Sim;Sim
VA0152B;JPVAD02;1;Sim;Sim
VA0050B;JPVAD11;1;Nao;Nao
VA0601B;JPVAD11;1;Nao;Nao
VA2601B;JPVAD17;1;Sim;Sim
VG1625B;JPVGD06;1;Sim;Sim
VG1853B;JPVGD06;1;Sim;Sim
VG9545B;JPVGD06;1;Sim;Sim
VG0010B;JPVGD09;1;Nao;Nao
VG0020B;JPVGD09;1;Nao;Nao
VG0030B;JPVGD09;1;Nao;Nao
VG0040B;JPVGD09;1;Nao;Nao
VG1601B;JPVGD09;1;Nao;Nao
CT0006S;;1;Nao;Nao
GE0510S;;1;Nao;Nao
PRODIGCX;;1;Nao;Nao
PROM1101;;1;Nao;Nao
PROTIT01;;1;Nao;Nao
SI1000S;;1;Nao;Nao
SI1018S;;1;Nao;Nao
SPBVG009;;1;Nao;Nao
VG0710S;;1;Nao;Nao
BI0070B;JPBID02;2;Nao;Nao
BI0071B;JPBID02;2;Nao;Nao
BI0072B;JPBID02;2;Nao;Nao
BI0073B;JPBID02;2;Nao;Nao
BI0074B;JPBID02;2;Nao;Nao
BI0075B;JPBID02;2;Nao;Nao
BI0077B;JPBID02;2;Sim;Nao
BI0078B;JPBID02;2;Nao;Nao
BI3605B;JPBID02;2;Nao;Nao
BI0229B;JPBID07;2;Nao;Nao
BI0230B;JPBID07;2;Nao;Nao
BI8070B;JPBID07;2;Nao;Nao
BI7028B;JPBID08;2;Nao;Sim
EM8006B;JPGETH06;2;Nao;Nao
EM8007B;JPGETH06;2;Sim;Nao
EM8008B;JPGETH06;2;Nao;Nao
EM8009B;JPGETH06;2;Nao;Nao
EM8010B;JPGETH06;2;Nao;Nao
EM8012B;JPGETH06;2;Sim;Nao
EM8020B;JPGETH06;2;Nao;Nao
EM8021B;JPGETH06;2;Nao;Nao
BI2002B;JPPFD00;2;Nao;Nao
CB0110B;JPPFD00;2;Sim;Nao
PF0002B;JPPFD00;2;Sim;Nao
PF0003B;JPPFD00;2;Nao;Nao
PF0103B;JPPFD00;2;Sim;Nao
PF0106B;JPPFD00;2;Nao;Nao
PF0110B;JPPFD00;2;Nao;Nao
PF0600B;JPPFD00;2;Nao;Sim
PF2002B;JPPFD00;2;Nao;Nao
PF0725B;JPPFD02;2;Nao;Nao
SI0181B;JPSID09;2;Nao;Nao
SI5039B;JPSID09;2;Nao;Nao
SI9229B;JPSID09;2;Nao;Nao
SI0213B;JPSID13;2;Nao;Nao
SI0218B;JPSID13;2;Nao;Nao
SI5040B;JPSID19;2;Nao;Nao
SI5066B;JPSID19;2;Nao;Nao
SI0000B;JPSIM01;2;Nao;Nao
SI1000B;JPSIM01;2;Nao;Nao
SI0822B;JPSIM02;2;Nao;Nao
VA3811B;JPVAD00;2;Nao;Nao
CB0112B;JPVAD01;2;Nao;Nao
VA3437B;JPVAD01;2;Nao;Nao
VA4437B;JPVAD01;2;Nao;Nao
VA5437B;JPVAD01;2;Nao;Nao
VG0816B;JPVAD01;2;Nao;Nao
VA0055B;JPVAD07;2;Nao;Nao
VA0056B;JPVAD07;2;Nao;Nao
VA0118B;JPVAD07;2;Nao;Nao
VA0952B;JPVAD07;2;Nao;Nao
VA0972B;JPVAD07;2;Nao;Nao
VA0973B;JPVAD07;2;Nao;Nao
VA1466B;JPVAD07;2;Nao;Nao
VA4004B;JPVAD07;2;Nao;Nao
VA0055B;JPVAD11;2;Nao;Nao
VA0600B;JPVAD11;2;Nao;Sim
VA0280B;JPVAD18;2;Sim;Nao
VG0120B;JPVGD04;2;Nao;Nao
VG0121B;JPVGD04;2;Nao;Nao
VG0122B;JPVGD04;2;Nao;Nao
VG0123B;JPVGD04;2;Nao;Nao
VG0781B;JPVGD04;2;Nao;Nao
VG0282B;JPVGD07;2;Sim;Nao
VG0283B;JPVGD07;2;Sim;Nao
VG0852B;JPVGD07;2;Nao;Nao
VG9546B;JPVGD11;2;Sim;Nao
VG1613B;JPVGD14;2;Nao;Nao
VG1617B;JPVGD14;2;Sim;Nao
VG2600B;JPVGD14;2;Nao;Sim
VG9550B;JPVGD14;2;Nao;Nao
VA0590B;JPVGD15;2;Sim;Nao
VG0145B;JPVGD16;2;Sim;Nao
CT0007S;;2;Nao;Nao
FC0001S;;2;Nao;Nao
FC0105B;;2;Nao;Nao
FC0105S;;2;Nao;Nao
FC1111S;;2;Nao;Nao
FC1112S;;2;Nao;Nao
GE0005S;;2;Nao;Nao
GE0006S;;2;Nao;Nao
GE0070S;;2;Nao;Nao
GE0071S;;2;Nao;Nao
GE0302B;;2;Nao;Nao
GE0350S;;2;Nao;Nao
GE0500B;;2;Nao;Nao
GE0501B;;2;Nao;Nao
GE0502B;;2;Nao;Nao
GE0503B;;2;Nao;Nao
GE0550B;;2;Nao;Nao
